iter	Passed	Remaining
832	2344	469
833	2345	466
834	2347	463
835	2349	460
836	2351	457
837	2353	454
838	2355	451
839	2357	449
840	2359	446
841	2361	443
842	2363	440
843	2365	437
844	2367	434
845	2369	431
846	2371	428
847	2373	425
848	2375	422
849	2377	419
850	2379	416
851	2382	413
852	2384	410
853	2386	407
854	2388	405
855	2390	402
856	2392	399
857	2394	396
858	2396	393
859	2401	390
860	2404	388
861	2409	385
862	2412	382
863	2415	380
864	2419	377
865	2422	374
866	2425	372
867	2430	369
868	2434	366
869	2437	364
870	2441	361
871	2444	358
872	2447	356
873	2451	353
874	2455	350
875	2459	348
876	2462	345
877	2465	342
878	2468	339
879	2471	337
880	2474	334
881	2477	331
882	2480	328
883	2482	325
884	2485	322
885	2489	320
886	2494	317
887	2497	314
888	2500	312
889	2505	309
890	2509	307
891	2514	304
892	2518	301
893	2522	299
894	2525	296
895	2528	293
896	2532	290
897	2535	288
898	2538	285
899	2542	282
900	2545	279
901	2548	276
902	2551	274
903	2555	271
904	2559	268
905	2561	265
906	2566	263
907	2569	260
908	2571	257
909	2574	254
910	2578	251
911	2581	249
912	2584	246
913	2587	243
914	2590	240
915	2594	237
916	2598	235
917	2602	232
918	2606	229
919	2612	227
920	2616	224
921	2620	221
922	2624	218
923	2628	216
924	2633	213
925	2637	210
926	2641	207
927	2645	205
928	2648	202
929	2651	199
930	2655	196
931	2658	194
932	2662	191
933	2665	188
934	2668	185
935	2672	182
936	2677	180
937	2681	177
938	2685	174
939	2689	171
940	2692	168
941	2696	166
942	2700	163
943	2704	160
944	2708	157
945	2711	154
946	2715	152
947	2719	149
948	2723	146
949	2726	143
950	2729	140
951	2733	137
952	2737	134
953	2742	132
954	2746	129
955	2750	126
956	2753	123
957	2757	120
958	2760	118
959	2763	115
960	2766	112
961	2770	109
962	2773	106
963	2777	103
964	2780	100
965	2784	97
966	2787	95
967	2790	92
968	2794	89
969	2797	86
970	2801	83
971	2804	80
972	2808	77
973	2811	75
974	2815	72
975	2818	69
976	2822	66
977	2825	63
978	2832	60
979	2836	57
980	2840	55
981	2843	52
982	2847	49
983	2851	46
984	2855	43
985	2859	40
986	2862	37
987	2868	34
988	2872	31
989	2876	29
990	2880	26
991	2885	23
992	2889	20
993	2893	17
994	2897	14
995	2901	11
996	2905	8
997	2909	5
998	2912	2
999	2916	0
